t # 0
v 0 0
v 1 3
v 2 9
v 3 18
v 4 3
v 5 10
v 6 5
v 7 10
v 8 0
v 9 14
v 10 7
v 11 10
v 12 10
e 0 1 10
e 0 2 4
e 0 4 1
e 0 9 2
e 1 2 11
e 1 4 14
e 1 8 1
e 2 3 7
e 2 7 12
e 2 10 8
e 2 8 17
e 3 5 19
e 3 11 12
e 3 12 12
e 4 8 1
e 5 6 14
e 5 7 12
e 5 11 12
e 6 7 14
e 6 10 0
e 7 12 12
e 9 10 15
e 10 12 5
e 11 12 12
t # 1
v 0 2
v 1 11
v 2 6
v 3 6
v 4 5
v 5 6
v 6 1
v 7 10
v 8 11
v 9 2
v 10 11
v 11 2
v 12 1
e 0 1 15
e 0 5 14
e 0 9 14
e 1 2 6
e 1 3 4
e 1 7 8
e 1 9 15
e 1 12 11
e 2 6 13
e 2 10 6
e 3 4 6
e 3 10 4
e 4 12 16
e 4 5 9
e 5 10 4
e 5 8 4
e 6 8 11
e 7 8 19
e 8 9 15
e 8 10 11
e 10 11 15
e 10 12 11
t # 2
v 0 6
v 1 11
v 2 1
v 3 5
v 4 1
v 5 5
v 6 1
v 7 5
v 8 5
v 9 5
v 10 1
v 11 6
v 12 16
e 0 1 6
e 0 2 13
e 0 5 6
e 0 8 9
e 0 7 9
e 0 11 14
e 1 4 11
e 2 3 8
e 2 8 9
e 2 9 9
e 3 6 8
e 3 11 6
e 3 7 7
e 3 10 16
e 3 4 16
e 3 9 7
e 4 12 8
e 4 6 18
e 4 5 16
e 4 10 18
e 5 8 7
e 5 9 7
e 6 7 9
e 6 11 13
e 8 11 9
e 9 10 1
t # 3
v 0 2
v 1 11
v 2 14
v 3 4
v 4 19
v 5 2
v 6 14
v 7 16
v 8 12
v 9 17
v 10 19
e 0 1 15
e 0 2 19
e 0 4 11
e 0 6 19
e 0 8 16
e 0 10 16
e 0 9 11
e 2 3 16
e 2 5 19
e 2 10 2
e 4 5 16
e 4 6 2
e 5 9 11
e 5 6 19
e 6 7 11
e 6 10 2
e 8 9 18
t # 4
v 0 1
v 1 16
v 2 6
v 3 1
v 4 14
v 5 19
v 6 1
v 7 14
v 8 16
v 9 11
e 0 1 8
e 0 2 13
e 0 4 5
e 0 9 12
e 1 3 8
e 1 6 8
e 1 7 11
e 1 8 15
e 2 9 4
e 3 9 11
